#,Nome,Categoria,Favorito,Resolvidos,Nível,col_6
1396,,Hoje tem Prova da Cris!,Paradigmas,,991,6
1397,,Jogo do Maior,Ad-Hoc,,13.586,1
1398,,Oceano Profundo! Faça-o Raso!!,Matemática,,1.015,6
1399,,Transformador de Matriz,Matemática,,433,9
1400,,Jogo - Contando,Matemática,,950,5
1401,,Gerando Permutações Ordenadas Rapidamente,Estruturas e Bibliotecas,,2.575,4
1402,,Será Que Indiana Jones Chega Lá?,Grafos,,112,8
1403,,Meu Avô é Famoso,Ad-Hoc,,1.470,4
1404,,MegaDamas,Ad-Hoc,,432,6
1405,,O Problema da Parada,Estruturas e Bibliotecas,,126,10
1406,,Jukebox,Strings,,42,10
1407,,Loteria de Fim de Semana,Ad-Hoc,,790,4
1408,,Mário,Paradigmas,,477,7
1409,,Zak Galou,Grafos,,432,9
1410,,Ele Está Impedido!,Ad-Hoc,,4.005,3
1411,,Encolhendo Polígonos,Geometria Computacional,,115,9
1412,,Cadeado com Segredo,Paradigmas,,146,9
1413,,Apresse-se!,Grafos,,138,10
1414,,Copa do Mundo,Ad-Hoc,,2.387,3
1415,,Galou Está de Volta!,Grafos,,92,6
1416,,Placar do ICPC,Paradigmas,,210,9
1417,,Liga da Justiça,Grafos,,92,7
1418,,Outra Crise,Ad-Hoc,,169,3
1419,,Bakugan,Ad-Hoc,,1.352,5
1420,,Contando os Segundos,Ad-Hoc,,122,8
1421,,Tic-Tac-Toe?,Ad-Hoc,,148,9
1422,,Bactérias,Matemática,,213,9
1423,,A aventura de Super Mario,Grafos,,231,8
1424,,Problema Fácil de Rujia Liu?,Estruturas e Bibliotecas,,2.886,8
1425,,Presente?!,Estruturas e Bibliotecas,,944,8
1426,,Coloque Tijolos na Parede,Ad-Hoc,,2.444,2
1427,,O Problema da Scrooge Co.,Grafos,,227,10
1428,,Procurando Nessy,Ad-Hoc,,2.247,1
1429,,Fatorial de Novo!,Matemática,,5.164,1
1430,,Composição de Jingles,Estruturas e Bibliotecas,,5.654,2
1431,,Níveis de Klingon,Ad-Hoc,,209,9
1432,,Strings Binárias Triple-Free,Paradigmas,,187,7
1433,,O Clube da Divisão,Matemática,,98,10
1434,,Patrulheiros Romanos,Matemática,,65,7
1435,,Matriz Quadrada I,Iniciante,,29.114,2
1436,,Jogo do Tijolo,Matemática,,8.020,2
1437,,"Esquerda, Volver!",Ad-Hoc,,8.525,2
1438,,Desempilhando Caixas,Ad-Hoc,,603,8
1439,,Bora Bora,Estruturas e Bibliotecas,,289,8
1440,,Praça de Alimentação,Ad-Hoc,,233,6
1441,,Sequências de Granizo,Ad-Hoc,,3.753,4
1442,,Desvio de Rua,Grafos,,757,8
1443,,Engarrafamento,Ad-Hoc,,97,6
1444,,Corrida dos Marrecos,Matemática,,1.049,4
1445,,Quem Vai à Festa?,Grafos,,613,6
1446,,Diagrama de Venn?,Geometria Computacional,,57,5
1447,,Back to the Future,Grafos,,818,7
1448,,Telefone Sem Fio,Strings,,2.167,9
1449,,O Fantástico Jaspion,Estruturas e Bibliotecas,,2.454,3
1450,,Os Joguinhos de Ramsés,Matemática,,78,9
1451,,Teclado Quebrado,Estruturas e Bibliotecas,,3.088,6
1452,,Gloud Computing,Estruturas e Bibliotecas,,1.391,2
1454,,O País das Bicicletas,Grafos,,706,8
1455,,Final do ICPC,Geometria Computacional,,269,10
1456,,Brainfuck,Strings,,557,8
1457,,Oráculo de Alexandria,Matemática,,3.822,1
1458,,Campeonato de SMS,Strings,,276,8
1459,,Foco,Ad-Hoc,,983,7
1460,,Parreiral,Ad-Hoc,,255,9
1461,,Caminhos Simétricos Ótimos,Grafos,,64,8
1462,,Popularidade no Facebook,Grafos,,493,9
1463,,Árvore Binária de Expressão,Grafos,,488,7
1464,,Camadas de Cebola,Geometria Computacional,,1.089,8
1465,,"Complexo, Difícil e Complicado",Matemática,,200,5
1466,,Percurso em Árvore por Nível,Grafos,,4.521,3
1467,,Zerinho ou Um,Ad-Hoc,,13.997,2
1468,,Balão,Geometria Computacional,,282,10
1469,,Chefe,Grafos,,1.936,9
1470,,Máquina Dobradora,Ad-Hoc,,745,4
1471,,Mergulho,Ad-Hoc,,7.297,3
1472,,Triângulos,Ad-Hoc,,1.925,6
1473,,Linhas de Contêiners,Paradigmas,,402,7
1474,,Ônibus,Paradigmas,,1.098,7
1475,,Remendo,Paradigmas,,848,4
1476,,Caminhão,Grafos,,667,8
1477,,"Homem, Elefante e Rato",Estruturas e Bibliotecas,,1.091,8
1478,,Matriz Quadrada II,Iniciante,,22.232,1
1479,,Ajude seu General,Grafos,,181,7
1480,,O Famoso Campo Minado,Ad-Hoc,,138,10
1481,,A Fazenda de Ostras de Zing Zhu,Matemática,,60,10
1482,,Noite no Museu,Grafos,,453,9
1483,,Jogo do Bicho,Ad-Hoc,,843,5
1484,,Tecle & Some,Matemática,,132,7
1485,,Roleta Turca,Paradigmas,,409,8
1486,,Circuito Bioquímico Digital,Ad-Hoc,,1.428,4
1487,,Six Flags,Paradigmas,,2.751,4
1488,,Números Mágicos?,Matemática,,194,7
1489,,Engenharia de Software,Grafos,,63,10
1490,,Torres que Atacam,Grafos,,839,9
1491,,Linguagem de Blogger,Strings,,68,10
1492,,Contando Uns,Matemática,,951,5
1493,,Abastecimento de Água Disjunto,Paradigmas,,251,7
1494,,Onze,Paradigmas,,178,9
1495,,Futebol,Ad-Hoc,,2.234,6
1496,,"Suba os ""Ultras""",Ad-Hoc,,233,8
1497,,Esconde-Esconde,Geometria Computacional,,153,10
1498,,Inversão de Huffman,Grafos,,149,10
1499,,Junte Dois Reinos,Grafos,,236,8
1500,,Consultas Horríveis,Estruturas e Bibliotecas,,1.623,8
1501,,Quantos Zeros e Quantos Dígitos?,Matemática,,314,9
1502,,Travessia,Grafos,,33,10
1503,,Maior Palíndromo Comum Você Deve Encontrar,Strings,,199,10
1504,,Curo Railroad,Geometria Computacional,,34,5
